Keyword,Topic
Plants (botany),Topic_80
Graphite fibers,Topic_96
Tensile testing machines,Topic_248
Phylogenetics,Topic_590
Mean squared error,Topic_821
Primary consolidation,Topic_395
Low noise amplifiers,Topic_471
Impact hydrodynamic pressure,Topic_838
Geographic information systems,Topic_601
Vacuum infusion,Topic_715
theoretical study,Topic_371
Intelligent educational systems,Topic_177
Electric network parameters,Topic_491
Genomic structure,Topic_105
Superconducting cavities,Topic_574
Capillary electrophoresis,Topic_645
Bone Density,Topic_918
Frequency selectivity,Topic_575
pedagogy,Topic_921
Nusselt number,Topic_575
Cfo estimators,Topic_339
Multiple-degree-of-freedom,Topic_394
nude mouse,Topic_593
Conduction-cooling,Topic_568
Buried channels,Topic_748
Acoustic techniques,Topic_994
Half-cell potential,Topic_663
Particle concentrations,Topic_649
Scatterometer data,Topic_906
Kinetically controlled,Topic_458
Coherent Energy Transfer,Topic_212
Remote control,Topic_689
Minimum distance,Topic_663
Philosophical aspects,Topic_452
Self-sensing,Topic_513
Microwave remote sensing,Topic_281
Washington State,Topic_278
Radiated noise,Topic_463
animal model,Topic_581
Construction projects,Topic_46
cohort analysis,Topic_831
Acoustic source models,Topic_914
Method analysis,Topic_373
High strength steel,Topic_961
Military communications,Topic_55
Visco-plastic self-consistent,Topic_559
scatterometer,Topic_122
Specific values,Topic_95
Harmonic balance approach,Topic_842
"Mice, Inbred BALB C",Topic_484
Elemental compositions,Topic_700
gadodiamide,Topic_734
Commitment,Topic_358
One-dimensional wave equations,Topic_828
Project complexity,Topic_978
Automotive manufacturers,Topic_909
Intelligent control,Topic_906
Three term control systems,Topic_921
Magnesium chloride solution,Topic_156
Energy interactions,Topic_773
Radiative heat fluxes,Topic_510
Dilution ratio,Topic_205
Time domain analysis,Topic_190
High pass filters,Topic_695
Open Data,Topic_109
Target reachability,Topic_135
Raman measurements,Topic_869
Microfluidic channel,Topic_980
jackknife test,Topic_237
geometry,Topic_222
High altitude long endurances,Topic_195
Indexes,Topic_77
Refined model,Topic_121
Radio astronomy,Topic_451
Electric power utilization,Topic_845
Carrier frequency offset estimation,Topic_662
kidney transplantation,Topic_490
Statistical comparisons,Topic_640
Microcontrollers,Topic_284
Hydrostatic pressure,Topic_870
Large circuits,Topic_1
Wearable Electronic Devices,Topic_857
Soil property,Topic_283
Membrane Proteins,Topic_670
Distributed architecture,Topic_315
Noise pollution,Topic_716
Nanoparticles,Topic_49
Word choices,Topic_102
Endotoxins,Topic_830
Construction stakeholders,Topic_68
Moon,Topic_761
Coal industry,Topic_780
Polyvinyl fluorides,Topic_776
Fitness functions,Topic_698
Syngas production,Topic_898
Fly ash,Topic_723
methane,Topic_251
Aggregate behavior,Topic_18
Computer architecture,Topic_508
Program accreditation,Topic_769
Combustion data,Topic_774
Networking systems,Topic_261
biomechanics,Topic_828
Buckling,Topic_999
Self-interferences,Topic_322
Raman active modes,Topic_86
Acoustic intensity,Topic_903
Appropriate techniques,Topic_194
Heat-treatable alloys,Topic_735
Resin infusion,Topic_682
Mechanical resonance,Topic_897
Wastewater treatment,Topic_398
Course deviations,Topic_196
MIMO systems,Topic_4
Pearlitic microstructure,Topic_674
Optimal number,Topic_226
"Osteoarthritis, Hip",Topic_992
Sulfur dioxide,Topic_294
Common cause failure,Topic_46
Circular polarization,Topic_973
Unmanned air vehicle (UAVs),Topic_121
Vapor pressure,Topic_702
demand analysis,Topic_84
Angular rate,Topic_694
Teaching/learning,Topic_279
Frequency contents,Topic_341
Transmission electron,Topic_278
Engineering geology,Topic_692
Integration method,Topic_953
Adaptive equalizer,Topic_676
Fabrication technique,Topic_873
Two-color,Topic_844
Plug and play,Topic_357
Diffusion,Topic_460
Flow physics,Topic_625
Alumina-supported,Topic_633
Test rigs,Topic_593
Gaseous flame,Topic_945
Permutation polynomials,Topic_991
Stiffness,Topic_311
Estimation,Topic_926
Thermal energy,Topic_554
Solid-state membranes,Topic_88
Binary mixtures,Topic_295
Deflection (structures),Topic_281
Thermal expansion,Topic_142
Coal tar,Topic_188
3D modeling,Topic_307
Geometrical aspects,Topic_741
Narrow band filter,Topic_654
STEM careers,Topic_902
beta-Glucans,Topic_270
Design/methodology/approach,Topic_633
Cell differentiation,Topic_326
Force response,Topic_383
Energy Harvester,Topic_771
Lower bound theorem,Topic_953
Optical radar,Topic_379
Data visualization,Topic_582
Environmental testing,Topic_754
information processing,Topic_149
Search parameters,Topic_5
Project outcomes,Topic_396
Graphical methods,Topic_121
Telescopes,Topic_399
High-speed interrogation,Topic_414
Temperature behavior,Topic_176
enzyme stability,Topic_666
Energy dissipation,Topic_720
Signal density,Topic_417
Matching pursuit algorithms,Topic_809
Real time performance,Topic_878
Complex topographies,Topic_198
Geotechnical parameters,Topic_52
Numerical response,Topic_444
Model checker,Topic_644
Bending moduli,Topic_866
Laser excitation,Topic_561
Axial load capacity,Topic_302
Jet noise generation,Topic_693
Academic journal,Topic_342
Grain size distribution,Topic_953
Austenite grain,Topic_350
Usability studies,Topic_910
Lagrange multipliers,Topic_581
Internal waves,Topic_262
Reliability requirements,Topic_679
Computational efficiency,Topic_996
Random set,Topic_665
Multiple bit upset,Topic_903
one-dimensional modeling,Topic_15
High through-put characterization,Topic_973
Drug Delivery Systems,Topic_651
Non-linear springs,Topic_266
Sequence motifs,Topic_780
Medical applications,Topic_553
adult,Topic_58
Biological phenomena,Topic_901
Vertical differential movement,Topic_710
Geometrically nonlinear,Topic_763
Codon bias,Topic_607
Profile shapes,Topic_427
High-voltage measurement,Topic_205
Coset coding,Topic_665
Intraperitoneal injections,Topic_166
fossil fuel,Topic_212
Pressure-driven flows,Topic_107
Gene Expression,Topic_955
Alumina Nanoparticle,Topic_329
Carbon footprint reductions,Topic_997
Gravity vectors,Topic_653
Swine,Topic_689
Lumped element equivalent circuit,Topic_329
Geographic location,Topic_566
Cyanides,Topic_804
Soil mechanics,Topic_138
Backbone curves,Topic_346
Land use,Topic_674
Self cultivations,Topic_737
Placement strategy,Topic_56
Vertex result,Topic_417
Corrosion,Topic_351
Multiple input multiple output (MIMO) radars,Topic_57
Motivation,Topic_632
Green Bank Telescope,Topic_714
Turbomachinery,Topic_616
Carbon fibers,Topic_905
Tensile testing,Topic_373
Asset management,Topic_259
Economic and social effects,Topic_229
Solid core,Topic_70
Microstrip antennas,Topic_868
Herbicide resistant weeds,Topic_250
antiinfective agent,Topic_146
Roads and highways,Topic_355
Coal storage,Topic_228
Potential energy functions,Topic_835
Circuits and systems,Topic_556
Configuration scrubbing,Topic_881
Gadolinium,Topic_736
Mixing units,Topic_968
bone,Topic_50
Distance parameter,Topic_991
Strong inversion regions,Topic_372
Mixture fraction,Topic_501
Muramidase,Topic_43
Copper alloys,Topic_214
rat,Topic_691
Polydimethylsiloxane,Topic_388
External cooling,Topic_813
Team members,Topic_187
Flow rate,Topic_169
Turbulence,Topic_128
Industry professionals,Topic_233
Superficial Reynolds number,Topic_180
Microstructural phenomenon,Topic_176
ENIGMA,Topic_167
Optimal controls,Topic_429
Neutrons,Topic_614
Bacteriophage T4,Topic_601
Light transmission,Topic_577
Hydrodynamic forces,Topic_192
Elementary schools,Topic_910
Design understanding,Topic_423
Computer mediated communication,Topic_645
Biocompatible,Topic_64
Large deflection analysis,Topic_622
Education computing,Topic_88
User motivation,Topic_594
Thermometry,Topic_21
Radio transmission,Topic_761
High performance concrete,Topic_414
Carbon depletion,Topic_93
User feedback,Topic_583
Peak sidelobe level,Topic_712
Helmholtz resonators,Topic_943
lab on a chip,Topic_986
Program processors,Topic_1
Anharmonic couplings,Topic_439
early cancer diagnosis,Topic_765
Frequency response,Topic_88
Linear independence,Topic_26
Electronic feedback,Topic_134
Deep oxidation,Topic_469
Interdisciplinary teams,Topic_687
Computational linguistics,Topic_428
Arctic engineering,Topic_474
Chemical looping combustion,Topic_2
Demographic data,Topic_644
Parameter-extraction method,Topic_544
Source codes,Topic_355
Maintenance structures,Topic_690
protein translation,Topic_726
Design optimization,Topic_332
Class rooms,Topic_710
Renewable energies,Topic_331
Flow batteries,Topic_701
SIMPLE method,Topic_907
Computed tomography data,Topic_622
carbon emission,Topic_836
Detection performance,Topic_163
Unmanned aerial systems,Topic_380
Cylindrical surface,Topic_83
Sheet thickness,Topic_740
wound,Topic_540
electromagnetism,Topic_716
Compositional spectra,Topic_918
Air transportation,Topic_650
spine fracture,Topic_227
Image processing algorithm,Topic_132
free surface flow,Topic_716
Electromagnetic transducer,Topic_678
Gas chromatographic column,Topic_459
Surgical instrument,Topic_586
Theoretical capacity,Topic_784
Increasing temperatures,Topic_225
Complex index of refraction,Topic_853
Morphing,Topic_33
Design,Topic_146
Soil-Structure Interaction effects,Topic_790
Three layer BP neural network,Topic_747
Regenerative medicine,Topic_365
Electric field measurement,Topic_190
Stress-driven grain-growth,Topic_776
Keypoints,Topic_621
Hardware implementations,Topic_823
Herbicides,Topic_956
High definition video,Topic_617
Optical electric field sensors,Topic_664
Thermal efficiency,Topic_481
SLAM,Topic_319
Dual-phase steel,Topic_92
Energy-based,Topic_140
Monopole antennas,Topic_219
Viral Proteins,Topic_950
drug efficacy,Topic_865
Japan earthquakes,Topic_971
Industrial gas turbines,Topic_252
Model parameters,Topic_100
Height optimization,Topic_390
atrium,Topic_13
Delay control systems,Topic_652
Testing configurations,Topic_666
Annealing,Topic_914
Western blotting,Topic_166
Control laws,Topic_330
Acquisition process,Topic_691
In-vivo,Topic_264
Academic institutions,Topic_267
Balanced singular perturbation approximations,Topic_879
Vortex flow,Topic_391
leap motion controller,Topic_324
Ambient environment,Topic_92
Thermal conductivity of solids,Topic_480
Kinetics,Topic_681
Dominant probability,Topic_756
Tantalum,Topic_299
isotope labeling,Topic_345
Electrochemical response,Topic_26
Group delay,Topic_28
Intelligent systems,Topic_9
Water cooled reactors,Topic_96
Sparsity constraints,Topic_298
Aspect ratio,Topic_755
Electromagnetic excitations,Topic_636
Thin sheet,Topic_334
antiresonant reflecting optical waveguide biosensor chip,Topic_567
Inter-digitated electrodes,Topic_585
Combinatorial optimization,Topic_714
Environmental dynamics,Topic_227
Far field measurement,Topic_781
Design method,Topic_716
antibiotic therapy,Topic_426
Fiber-optic technology,Topic_798
Device operations,Topic_507
Sensitivity analysis,Topic_975
Site characterization,Topic_226
effect heredity,Topic_630
Minimum redundancy-maximum relevances,Topic_98
Ray-tracing technique,Topic_679
Computational fluid dynamics analysis,Topic_280
Impact energy,Topic_11
Target nodes,Topic_870
Bad data detections,Topic_301
Amplitude modulation,Topic_89
Propanol,Topic_355
Decision boundary,Topic_934
Serious games,Topic_350
rigidity,Topic_883
Defense contractor,Topic_167
Nonlinear model predictive control,Topic_824
High molecular weight,Topic_607
Fluorescent signals,Topic_302
structure activity relation,Topic_85
Impact assessments,Topic_404
Pilot studies,Topic_209
System observability,Topic_695
Risk management,Topic_181
Methane,Topic_967
Reduced model,Topic_469
Mesh generation,Topic_668
Array architecture,Topic_577
Fine Chemicals,Topic_258
microcapsule,Topic_367
Mammals,Topic_182
Topic Modeling,Topic_24
Bicrystals,Topic_135
Transfer learning,Topic_658
Laser ablation,Topic_507
Human resource management,Topic_343
Two-dimensional hydrodynamics,Topic_872
Field investigation,Topic_45
Holistic design,Topic_29
Design environment,Topic_463
Ultra sensitives,Topic_778
Research laboratories,Topic_228
Human-powered,Topic_912
estimation method,Topic_898
quasi-geostrophic flow,Topic_502
Mutually independents,Topic_287
Project sustainability,Topic_715
Global state,Topic_748
Immunohistochemistry,Topic_901
Predictive power,Topic_494
Continuum mechanics,Topic_470
Diffusion controlled,Topic_767
Gravelly sand,Topic_17
Experimental approaches,Topic_498
A-plane,Topic_959
Computational model,Topic_877
Gravel,Topic_971
Nanocrystals,Topic_287
osteoporosis,Topic_82
Superhydrophilic surface,Topic_480
Manufacturing parameters,Topic_330
Aeronautical telemetry,Topic_274
Thickness gradients,Topic_349
Simulated evolutions,Topic_332
Industrial relations,Topic_462
In-system debug,Topic_57
Pearlite,Topic_956
Fire dynamics simulator,Topic_508
Heart,Topic_151
Entrepreneurship,Topic_312
Passive networks,Topic_908
Silicate minerals,Topic_545
Packaging density,Topic_606
Codebooks,Topic_50
SERDES,Topic_835
Wind effects,Topic_578
Ionizing radiation,Topic_614
Federal District [Mexico],Topic_374
Image based visual servoing,Topic_964
Water droplet impingement,Topic_358
Closed loop control systems,Topic_866
Deployable structure,Topic_671
Root mean square errors,Topic_718
Soot formations,Topic_758
Graph,Topic_457
Four wave mixing,Topic_866
Co-phasing,Topic_623
Uncoded system,Topic_575
Angiotensin II Type 1 Receptor Blockers,Topic_623
Pump-probe spectroscopy,Topic_119
Thermodynamic relationships,Topic_274
Clinical practices,Topic_271
Niobium compounds,Topic_866
Research reactors,Topic_627
Fluorine compounds,Topic_735
Experimental methods,Topic_374
health insurance,Topic_899
Controllers,Topic_973
Liquid precursors,Topic_705
Laptop computers,Topic_987
Digital signal processing,Topic_975
Multiple processors,Topic_305
Soot particle size distributions,Topic_535
